id,quality
1257,7
6409,6
136,5
1631,5
6084,5
5434,6
1094,6
5146,6
5921,6
1076,6
616,5
4336,7
219,6
6403,6
2397,6
5240,6
3696,5
1070,6
5890,5
1270,6
4641,5
5299,6
2494,6
5276,7
332,6
3671,5
6367,6
5681,6
1741,6
4715,6
1114,6
4105,6
825,6
88,6
4551,6
227,5
1369,6
3722,6
2341,6
4882,6
2382,6
4075,6
687,5
2350,5
2634,5
5751,6
5934,6
6286,6
6004,6
4696,6
5628,6
3066,5
6267,6
3950,6
1834,6
848,7
5852,6
3034,6
1074,6
1184,5
3788,6
3267,6
5640,5
2076,6
4634,5
2075,6
5741,6
5008,6
1485,6
2010,5
1899,6
3514,6
5819,5
5040,6
3998,6
6425,7
1733,6
2925,6
1528,6
2332,6
3492,5
6177,6
5338,6
2599,6
512,6
5118,6
4024,6
1095,5
965,6
1163,6
5773,6
4154,6
2968,6
2294,7
2652,6
4632,6
4585,6
754,6
3471,6
3506,5
1513,5
210,6
664,5
6414,6
2418,5
2468,6
1127,6
4820,6
495,6
6256,6
2732,5
3053,6
2954,6
3663,5
4410,7
2153,6
4691,6
2971,5
2616,6
102,5
1610,5
3766,6
3072,6
2951,6
2087,5
4593,6
6184,6
3347,6
2806,5
3083,5
1815,5
4814,6
6316,6
6480,6
6471,5
3173,6
3539,5
1247,6
2778,5
3534,6
963,6
708,6
4145,6
1594,6
5734,6
1304,6
3748,7
6189,6
3245,6
3697,6
1859,5
475,5
4161,6
775,6
2486,6
2791,6
3583,5
6186,6
5924,6
4788,5
2589,6
5305,6
3164,5
451,6
2376,5
13,6
4807,6
2748,5
4499,6
5033,6
2910,5
5570,6
2488,5
4109,6
4195,5
1881,6
2242,6
758,7
1474,6
5610,5
5587,5
1970,6
2657,5
4859,6
4333,7
6492,6
543,6
4270,6
3804,6
450,6
2786,6
3967,7
5568,6
2682,5
2277,6
3946,6
4308,5
856,7
1279,6
3987,5
5536,6
345,7
2172,6
2834,5
1286,6
6350,5
1908,6
5070,5
2933,5
1486,6
4128,5
1882,5
2937,7
4329,5
3839,6
4457,7
2773,6
4055,5
2437,6
1307,6
2912,6
987,6
5726,6
5554,5
3931,5
31,6
2800,6
3738,6
2716,6
270,6
5752,5
6226,6
3880,6
1258,6
2441,5
5410,7
5912,6
1411,6
3584,6
6234,5
4577,5
5471,6
2354,6
4310,6
4225,7
521,5
2938,6
5865,6
5590,6
372,6
6059,6
167,7
5936,6
5411,6
3507,6
3654,6
759,6
4614,6
4273,6
64,6
5986,6
4396,5
4671,7
3488,6
1642,5
3585,5
5097,6
4275,6
3157,6
3754,6
1045,6
4171,7
5257,6
277,7
3156,6
2513,5
6224,6
6300,6
2538,6
817,6
5565,5
4531,7
5999,6
2424,5
1056,5
2361,5
1896,6
804,6
4521,6
2337,6
980,6
3817,5
5550,6
2979,5
3357,5
2168,6
4570,6
4485,6
1830,6
4891,5
3284,5
1248,7
3168,6
2071,5
288,6
5346,5
4146,6
961,6
610,6
4727,7
479,5
4092,6
5548,6
5666,5
2394,5
3528,6
192,7
5749,7
3087,6
2813,5
3274,6
5594,5
1805,6
5193,6
436,5
400,6
356,6
4983,7
6441,6
4676,5
1191,6
5790,6
1314,6
2624,5
5625,6
3846,5
1718,7
4376,7
1837,6
5659,6
4591,5
1892,6
742,5
702,7
2174,5
172,6
255,6
1173,5
5078,5
425,5
3670,7
3355,6
662,7
2425,6
686,7
2836,6
292,6
1501,6
2282,7
2935,5
3934,6
3297,5
337,6
4643,7
3957,6
6133,6
5225,6
5913,6
4929,6
3364,5
1004,6
2201,6
5390,6
4444,6
4232,6
3204,6
2899,7
1640,6
974,5
5186,6
1680,7
4996,5
2302,5
5404,7
333,6
4023,7
2710,6
731,6
4424,6
4900,6
2195,6
5774,6
1431,6
3571,6
3940,6
3071,6
3502,6
4107,6
4223,6
2327,6
4181,6
216,6
5044,6
1898,5
3887,6
3740,6
419,6
5989,6
5266,5
2405,6
89,6
4832,6
5611,5
3391,6
464,5
1944,6
6080,6
1490,6
2873,5
145,6
3679,5
2444,5
1847,6
6280,6
185,6
3674,6
1268,6
5742,6
5034,6
1346,5
1773,5
5481,6
5343,5
2537,7
3711,6
1246,5
1867,6
480,5
2506,6
2613,5
5048,6
3044,6
592,6
3659,6
3214,6
1960,5
283,6
975,6
1422,5
4642,5
1716,5
3249,6
6272,6
1928,6
3149,5
2739,6
4687,6
3907,6
2291,6
1214,5
3774,5
4406,7
4940,6
6222,6
2399,6
1221,6
3452,7
2227,6
2807,5
3994,5
4302,6
629,6
540,6
4792,5
2324,6
4211,6
5007,7
4913,5
4695,5
4170,6
420,6
5013,5
3648,6
1219,6
1649,5
4745,5
181,6
3256,6
5704,5
3936,6
4575,6
104,6
3409,7
2156,6
2483,5
4568,6
2278,6
2869,6
4692,5
6139,6
3601,6
1227,6
1518,5
123,6
65,5
2991,5
852,6
4197,6
1728,6
1300,6
1018,5
6462,6
841,6
3831,6
86,6
5828,5
4594,6
1352,5
1670,6
5409,6
1406,6
1776,5
196,5
2875,6
1047,6
285,6
115,5
1958,6
5882,6
6323,6
5268,6
4601,6
4993,6
3706,6
4212,5
397,6
6027,5
507,6
5479,6
4509,5
2315,6
2029,5
3097,6
2231,5
4864,5
2281,6
2609,6
4987,6
1137,6
4083,5
3111,5
964,6
2158,6
911,6
5115,6
5772,6
5873,6
523,5
5006,6
5235,6
5796,6
2192,5
5914,6
472,6
1888,6
4889,6
6296,6
1051,6
3222,5
4294,6
786,6
1531,6
559,6
4917,6
2543,5
5561,5
632,6
6434,5
2856,5
822,5
3564,6
2120,6
2045,6
4048,5
3972,6
1863,5
137,5
2433,6
4300,6
4291,6
3902,6
3025,5
1053,5
5723,6
1880,5
4253,5
3737,6
1329,6
2725,5
3883,5
241,6
4527,6
3271,6
3464,5
5957,6
4970,6
6463,6
2421,6
950,5
5770,5
5802,5
4738,6
2364,5
5874,6
2144,6
1207,6
4088,6
3188,6
3421,5
2097,6
4652,6
620,6
3848,5
2646,6
4514,5
2884,6
732,5
4393,6
5908,5
2765,6
5745,5
5535,6
132,5
5418,5
4058,5
6260,7
118,6
2696,6
650,6
3352,6
1282,6
111,6
108,6
2853,6
4052,6
4248,5
5662,5
5331,7
3038,6
4946,6
4103,5
6201,7
3382,7
6049,6
4867,7
155,6
1715,5
432,5
5263,6
5617,6
6362,6
3349,5
1954,7
1775,5
3525,6
4731,5
2761,7
4278,6
5060,7
477,7
2923,6
4193,5
4174,6
729,6
5340,5
3405,6
5321,7
3821,5
2982,6
51,6
717,6
1141,6
5437,5
1613,5
2126,6
4095,5
81,6
3692,6
2057,5
415,6
5032,6
1040,6
6024,5
6479,6
6102,6
969,6
4236,6
1135,6
982,7
1334,6
6458,6
4885,6
4828,6
2823,6
4068,6
6203,6
5188,6
1496,6
484,5
1404,5
874,6
4853,6
5212,6
782,6
5347,6
5334,6
5716,6
2755,5
4984,6
4220,6
4246,6
66,7
828,4
1679,5
3538,5
1877,5
6147,5
2947,6
5122,5
3658,7
2301,6
1192,6
3640,5
1692,6
2900,6
5564,5
5352,5
3017,6
5165,5
4649,6
2820,5
5917,5
3140,5
2383,5
6010,6
743,5
1921,6
1606,7
5569,5
263,6
4963,5
4374,5
6165,5
3799,5
6345,6
2320,6
4530,7
6066,6
867,5
1647,6
226,5
5098,6
6489,5
22,6
2430,6
3152,5
41,6
3717,6
865,6
4440,5
2779,5
749,6
585,6
1662,5
4838,6
4804,5
683,6
452,6
2784,5
6002,6
1423,6
644,5
2591,5
1814,6
280,6
435,6
5996,5
2913,6
3418,6
1757,6
2882,6
6497,5
5285,6
1038,6
1356,6
3638,7
640,6
2527,6
766,6
30,6
5498,7
95,5
1143,6
2095,6
5629,6
5846,5
5262,6
5495,6
4408,6
2007,6
2948,6
2864,6
2668,5
1366,6
5465,5
4646,6
734,5
5090,6
1579,6
5688,6
