id,quality
1257,6.578
6409,5.69
136,4.995
1631,6.811
6084,5.801
5434,5.256
1094,5.299
5146,6.411
5921,6.704
1076,5.884
616,5.376
4336,6.295
219,6.246
6403,5.58
2397,6.125
5240,5.194
3696,5.624
1070,6.355
5890,5.415
1270,5.154
4641,5.495
5299,6.324
2494,5.357
5276,6.802
332,5.582
3671,5.107
6367,5.745
5681,6.024
1741,5.362
4715,6.11
1114,6.045
4105,5.791
825,6.469
88,6.234
4551,6.288
227,5.14
1369,6.423
3722,6.385
2341,6.074
4882,6.469
2382,5.087
4075,6.401
687,5.083
2350,5.207
2634,5.546
5751,5.045
5934,5.445
6286,5.394
6004,5.554
4696,6.096
5628,5.945
3066,5.082
6267,5.09
3950,5.562
1834,5.403
848,6.377
5852,5.906
3034,5.742
1074,6.001
1184,5.084
3788,6.38
3267,6.408
5640,5.714
2076,5.489
4634,4.868
2075,6.054
5741,6.18
5008,6.651
1485,5.056
2010,5.674
1899,5.065
3514,5.649
5819,4.946
5040,6.025
3998,5.247
6425,6.132
1733,5.119
2925,5.982
1528,5.541
2332,6.286
3492,5.074
6177,5.106
5338,6.387
2599,5.763
512,5.223
5118,5.775
4024,6.337
1095,5.061
965,6.176
1163,5.025
5773,5.536
4154,5.241
2968,5.206
2294,6.123
2652,5.991
4632,5.045
4585,5.453
754,5.142
3471,6.627
3506,5.134
1513,6.06
210,6.047
664,5.015
6414,5.786
2418,5.007
2468,6.4
1127,6.231
4820,5.792
495,5.947
6256,5.141
2732,5.029
3053,5.96
2954,5.16
3663,5.186
4410,6.073
2153,4.901
4691,5.713
2971,5.723
2616,5.202
102,5.138
1610,5.168
3766,5.65
3072,6.058
2951,5.609
2087,5.224
4593,5.759
6184,5.272
3347,5.838
2806,5.917
3083,5.634
1815,5.12
4814,5.314
6316,5.829
6480,5.879
6471,5.205
3173,6.097
3539,5.111
1247,5.722
2778,4.986
3534,5.767
963,6.549
708,6.04
4145,5.129
1594,6.302
5734,5.025
1304,5.703
3748,6.643
6189,5.254
3245,5.886
3697,5.857
1859,5.605
475,5.84
4161,6.045
775,5.53
2486,6.295
2791,6.286
3583,6.372
6186,6.671
5924,6.195
4788,5.223
2589,6.025
5305,6.39
3164,5.136
451,6.334
2376,5.091
13,6.096
4807,5.781
2748,5.031
4499,5.687
5033,5.859
2910,5.07
5570,5.943
2488,6.811
4109,6.563
4195,5.565
1881,5.966
2242,5.726
758,7.294
1474,5.301
5610,4.762
5587,5.033
1970,5.872
2657,5.089
4859,5.832
4333,6.715
6492,6.114
543,5.242
4270,6.386
3804,5.91
450,6.163
2786,6.066
3967,6.146
5568,6.161
2682,5.015
2277,5.245
3946,5.829
4308,5.156
856,5.987
1279,5.024
3987,5.222
5536,6.286
345,7.257
2172,5.698
2834,5.551
1286,5.905
6350,5.04
1908,6.53
5070,5.061
2933,6.811
1486,6.34
4128,5.029
1882,5.7
2937,6.6
4329,5.002
3839,5.657
4457,6.255
2773,6.18
4055,5.544
2437,6.267
1307,5.647
2912,6.278
987,6.064
5726,5.142
5554,5.04
3931,4.882
31,6.17
2800,6.161
3738,5.911
2716,5.482
270,5.055
5752,5.347
6226,5.289
3880,6.333
1258,5.641
2441,5.127
5410,6.981
5912,6.151
1411,6.248
3584,6.636
6234,4.695
4577,5.153
5471,5.766
2354,5.358
4310,6.096
4225,6.328
521,5.181
2938,5.618
5865,6.024
5590,5.596
372,5.784
6059,5.373
167,5.67
5936,5.936
5411,6.119
3507,5.033
3654,5.626
759,5.87
4614,6.147
4273,5.562
64,5.254
5986,5.549
4396,5.319
4671,6.843
3488,5.063
1642,5.134
3585,4.998
5097,6.026
4275,5.043
3157,6.632
3754,6.828
1045,5.531
4171,6.577
5257,5.66
277,6.802
3156,5.954
2513,5.14
6224,6.109
6300,5.959
2538,5.662
817,5.58
5565,5.015
4531,6.786
5999,5.878
2424,5.082
1056,4.914
2361,6.811
1896,5.436
804,5.72
4521,5.878
2337,5.745
980,5.288
3817,5.077
5550,5.301
2979,5.685
3357,5.55
2168,5.461
4570,6.295
4485,5.865
1830,6.054
4891,4.995
3284,6.716
1248,6.709
3168,5.392
2071,4.944
288,5.836
5346,5.088
4146,5.243
961,6.152
610,6.286
4727,6.905
479,5.532
4092,5.959
5548,6.209
5666,5.7
2394,5.388
3528,5.73
192,6.68
5749,6.695
3087,6.302
2813,5.427
3274,5.837
5594,5.673
1805,5.326
5193,6.134
436,5.031
400,6.336
356,5.731
4983,6.551
6441,5.958
4676,6.197
1191,5.434
5790,6.031
1314,5.141
2624,5.068
5625,5.944
3846,5.23
1718,6.233
4376,6.103
1837,5.956
5659,6.199
4591,5.607
1892,6.469
742,5.827
702,6.233
2174,5.432
172,5.956
255,6.263
1173,5.591
5078,5.838
425,5.062
3670,7.043
3355,5.829
662,7.105
2425,5.659
686,6.684
2836,5.594
292,6.573
1501,6.565
2282,6.475
2935,5.48
3934,5.921
3297,5.67
337,5.751
4643,6.863
3957,5.499
6133,6.26
5225,5.849
5913,5.944
4929,6.268
3364,6.811
1004,5.036
2201,6.582
5390,5.811
4444,5.94
4232,5.819
3204,5.081
2899,7.029
1640,6.084
974,5.136
5186,6.218
1680,6.193
4996,5.099
2302,5.197
5404,6.68
333,5.999
4023,5.444
2710,5.314
731,5.143
4424,6.262
4900,6.045
2195,5.821
5774,5.875
1431,5.799
3571,6.092
3940,6.096
3071,6.209
3502,6.297
4107,5.828
4223,6.273
2327,6.379
4181,5.518
216,5.818
5044,6.137
1898,5.135
3887,5.634
3740,6.089
419,5.468
5989,5.981
5266,5.065
2405,6.173
89,5.263
4832,5.353
5611,5.591
3391,5.781
464,5.16
1944,6.183
6080,5.097
1490,6.03
2873,5.499
145,6.076
3679,5.589
2444,5.126
1847,7.449
6280,6.256
185,6.693
3674,6.614
1268,6.658
5742,5.119
5034,5.722
1346,5.517
1773,5.202
5481,6.155
5343,5.694
2537,6.905
3711,5.791
1246,5.083
1867,6.193
480,5.081
2506,5.742
2613,5.15
5048,6.414
3044,5.663
592,6.294
3659,6.064
3214,5.461
1960,5.076
283,5.967
975,6.167
1422,5.308
4642,5.218
1716,4.886
3249,6.707
6272,6.09
1928,5.473
3149,5.1
2739,6.474
4687,6.192
3907,5.383
2291,6.465
1214,5.175
3774,5.565
4406,7.034
4940,5.376
6222,5.463
2399,5.415
1221,5.637
3452,6.162
2227,6.204
2807,5.634
3994,5.095
4302,5.453
629,5.645
540,4.713
4792,5.144
2324,5.733
4211,6.061
5007,6.41
4913,6.716
4695,5.765
4170,5.984
420,5.801
5013,5.365
3648,6.588
1219,5.722
1649,5.534
4745,5.116
181,5.162
3256,5.677
5704,5.836
3936,5.719
4575,5.316
104,5.857
3409,6.878
2156,5.971
2483,5.467
4568,5.781
2278,5.239
2869,6.322
4692,5.499
6139,5.829
3601,5.708
1227,6.401
1518,5.154
123,5.35
65,5.135
2991,5.162
852,6.064
4197,5.767
1728,5.925
1300,5.451
1018,5.167
6462,5.555
841,6.639
3831,5.6
86,5.977
5828,5.022
4594,6.218
1352,5.046
1670,5.357
5409,6.333
1406,5.872
1776,5.065
196,5.725
2875,5.065
1047,5.525
285,5.71
115,5.215
1958,6.197
5882,6.385
6323,6.002
5268,6.111
4601,6.173
4993,5.687
3706,5.121
4212,5.447
397,5.87
6027,5.716
507,6.651
5479,5.978
4509,6.047
2315,5.536
2029,5.207
3097,5.965
2231,5.319
4864,5.158
2281,6.147
2609,6.651
4987,5.863
1137,5.954
4083,5.015
3111,5.267
964,6.7
2158,5.851
911,6.27
5115,5.829
5772,5.815
5873,5.954
523,5.222
5006,5.767
5235,6.163
5796,6.606
2192,5.059
5914,5.801
472,5.944
1888,5.548
4889,6.739
6296,5.661
1051,5.767
3222,5.022
4294,5.699
786,5.423
1531,5.802
559,5.081
4917,5.392
2543,5.099
5561,5.313
632,5.063
6434,5.792
2856,5.039
822,5.362
3564,5.785
2120,5.722
2045,7.096
4048,5.013
3972,6.286
1863,4.849
137,5.484
2433,5.741
4300,5.534
4291,5.912
3902,5.798
3025,5.013
1053,5.393
5723,5.932
1880,5.157
4253,5.7
3737,6.093
1329,5.963
2725,5.218
3883,5.54
241,5.376
4527,5.256
3271,5.727
3464,5.226
5957,5.762
4970,5.295
6463,5.422
2421,6.044
950,6.811
5770,4.93
5802,4.863
4738,6.276
2364,5.997
5874,5.261
2144,5.5
1207,5.944
4088,5.989
3188,6.11
3421,5.124
2097,5.697
4652,5.297
620,6.655
3848,5.612
2646,5.861
4514,5.033
2884,5.992
732,5.033
4393,6.192
5908,5.814
2765,6.133
5745,5.47
5535,5.857
132,5.18
5418,5.089
4058,5.079
6260,6.037
118,6.712
2696,6.394
650,5.238
3352,5.622
1282,5.033
111,5.78
108,5.87
2853,6.58
4052,5.746
4248,5.098
5662,5.039
5331,6.736
3038,5.476
4946,6.468
4103,4.998
6201,6.715
3382,6.715
6049,6.372
4867,6.6
155,6.498
1715,5.699
432,5.134
5263,7.164
5617,5.748
6362,5.45
3349,5.131
1954,6.123
1775,5.378
3525,5.606
4731,5.34
2761,6.704
4278,5.837
5060,6.944
477,6.99
2923,5.955
4193,4.882
4174,5.612
729,6.195
