id,quality
1257,6.584
6409,5.614
136,4.992
1631,6.679
6084,5.774
5434,5.328
1094,5.324
5146,6.381
5921,6.625
1076,5.831
616,5.424
4336,6.372
219,6.188
6403,5.613
2397,6.266
5240,5.17
3696,5.689
1070,6.341
5890,5.495
1270,5.168
4641,5.44
5299,6.235
2494,5.306
5276,6.836
332,5.702
3671,5.174
6367,5.791
5681,6.025
1741,5.358
4715,6.108
1114,6.107
4105,5.758
825,6.321
88,6.19
4551,6.301
227,5.29
1369,6.353
3722,6.415
2341,6.101
4882,6.445
2382,5.092
4075,6.475
687,5.119
2350,5.216
2634,5.476
5751,5.051
5934,5.411
6286,5.408
6004,5.581
4696,6.102
5628,5.759
3066,5.077
6267,5.211
3950,5.566
1834,5.546
848,6.511
5852,6.169
3034,5.693
1074,6.005
1184,5.34
3788,6.387
3267,6.394
5640,5.672
2076,5.498
4634,5.146
2075,5.833
5741,6.045
5008,6.575
1485,5.049
2010,5.58
1899,5.07
3514,5.258
5819,5.016
5040,5.958
3998,5.697
6425,6.133
1733,5.163
2925,5.937
1528,5.526
2332,6.4
3492,5.117
6177,5.083
5338,6.29
2599,5.791
512,5.242
5118,5.801
4024,6.378
1095,5.136
965,6.093
1163,5.308
5773,5.57
4154,5.204
2968,5.229
2294,6.139
2652,6.03
4632,5.051
4585,5.503
754,5.026
3471,6.684
3506,5.098
1513,6.029
210,6.141
664,5.16
6414,5.825
2418,5.025
2468,6.359
1127,6.35
4820,5.34
495,6.032
6256,5.152
2732,5.033
3053,5.969
2954,5.109
3663,5.188
4410,6.082
2153,4.771
4691,5.639
2971,5.714
2616,5.216
102,5.124
1610,5.226
3766,5.622
3072,6.089
2951,5.696
2087,5.193
4593,5.646
6184,5.287
3347,5.65
2806,5.935
3083,5.617
1815,5.132
4814,5.309
6316,5.783
6480,5.924
6471,5.316
3173,6.038
3539,5.17
1247,5.596
2778,5.015
3534,5.658
963,6.489
708,6.066
4145,5.135
1594,6.314
5734,5.308
1304,5.654
3748,6.526
6189,5.238
3245,5.844
3697,5.576
1859,5.61
475,5.797
4161,6.107
775,5.563
2486,6.304
2791,6.247
3583,6.47
6186,6.594
5924,6.227
4788,5.223
2589,6.059
5305,6.498
3164,5.389
451,6.293
2376,5.07
13,6.102
4807,5.762
2748,5.033
4499,5.633
5033,5.889
2910,5.135
5570,6.08
2488,6.679
4109,6.51
4195,5.681
1881,5.994
2242,5.6
758,7.262
1474,5.341
5610,4.843
5587,5.367
1970,5.837
2657,5.1
4859,5.872
4333,6.678
6492,5.98
543,5.207
4270,6.311
3804,6.024
450,6.061
2786,6.195
3967,6.195
5568,6.148
2682,5.16
2277,5.227
3946,5.944
4308,5.393
856,6.066
1279,5.035
3987,5.229
5536,6.4
345,7.18
2172,5.567
2834,5.558
1286,5.856
6350,5.166
1908,6.533
5070,5.073
2933,6.679
1486,6.187
4128,5.033
1882,5.741
2937,6.611
4329,5.016
3839,5.705
4457,6.193
2773,6.371
4055,5.494
2437,6.405
1307,5.558
2912,6.115
987,6.267
5726,5.026
5554,5.047
3931,5.379
31,6.256
2800,6.148
3738,5.937
2716,5.516
270,5.083
5752,5.421
6226,5.342
3880,6.311
1258,5.593
2441,5.165
5410,6.844
5912,6.235
1411,6.213
3584,6.555
6234,5.37
4577,5.151
5471,5.666
2354,5.414
4310,6.102
4225,6.445
521,5.24
2938,5.589
5865,5.887
5590,5.629
372,5.878
6059,5.296
167,5.806
5936,5.83
5411,6.016
3507,5.055
3654,5.623
759,5.614
4614,6.038
4273,5.575
64,5.238
5986,5.321
4396,5.285
4671,6.951
3488,5.079
1642,5.098
3585,4.972
5097,6.059
4275,5.04
3157,6.717
3754,6.728
1045,5.588
4171,6.527
5257,5.574
277,6.836
3156,6.113
2513,5.29
6224,6.093
6300,5.846
2538,5.689
817,5.613
5565,5.138
4531,6.934
5999,5.839
2424,5.111
1056,4.935
2361,6.679
1896,5.506
804,5.724
4521,5.839
2337,5.688
980,5.333
3817,5.109
5550,5.341
2979,5.675
3357,5.644
2168,5.531
4570,6.304
4485,5.92
1830,6.063
4891,4.992
3284,6.449
1248,6.655
3168,5.371
2071,4.962
288,5.989
5346,5.254
4146,5.262
961,6.237
610,6.247
4727,6.878
479,5.528
4092,5.846
5548,6.232
5666,5.741
2394,5.66
3528,5.738
192,6.633
5749,6.709
3087,6.314
2813,5.39
3274,5.754
5594,5.413
1805,5.901
5193,6.184
436,5.025
400,6.28
356,5.806
4983,6.677
6441,6.018
4676,6.103
1191,5.442
5790,5.633
1314,5.152
2624,5.09
5625,5.889
3846,5.308
1718,6.231
4376,6.141
1837,5.946
5659,6.223
4591,5.592
1892,6.335
742,5.783
702,6.231
2174,5.438
172,5.908
255,6.295
1173,5.533
5078,5.672
425,5.025
3670,7.117
3355,5.944
662,7.053
2425,5.696
686,6.649
2836,5.534
292,6.603
1501,6.499
2282,6.498
2935,5.546
3934,5.876
3297,5.7
337,5.295
4643,6.85
3957,5.537
6133,6.358
5225,5.963
5913,5.951
4929,6.431
3364,6.679
1004,5.063
2201,6.703
5390,5.779
4444,5.85
4232,5.916
3204,5.1
2899,6.881
1640,6.11
974,5.419
5186,6.227
1680,5.816
4996,5.063
2302,5.214
5404,6.633
333,6.0
4023,5.466
2710,5.309
731,5.135
4424,6.452
4900,6.032
2195,5.81
5774,5.875
1431,5.859
3571,6.091
3940,6.102
3071,6.285
3502,6.275
4107,5.892
4223,6.273
2327,6.428
4181,5.517
216,5.718
5044,6.202
1898,5.342
3887,5.567
3740,6.081
419,5.479
5989,5.909
5266,5.351
2405,6.262
89,5.335
4832,5.328
5611,5.533
3391,5.786
464,5.183
1944,6.142
6080,5.102
1490,5.873
2873,5.481
145,6.124
3679,5.585
2444,5.095
1847,7.465
6280,6.28
185,6.654
3674,6.546
1268,6.496
5742,5.163
5034,5.677
1346,5.63
1773,5.196
5481,6.214
5343,5.598
2537,6.878
3711,5.885
1246,5.121
1867,6.275
480,5.068
2506,5.796
2613,5.325
5048,6.428
3044,5.593
592,6.242
3659,6.088
3214,5.531
1960,5.11
283,5.946
975,6.21
1422,5.26
4642,5.145
1716,4.854
3249,6.763
6272,6.065
1928,5.319
3149,5.096
2739,6.411
4687,5.616
3907,5.38
2291,6.446
1214,5.401
3774,5.465
4406,7.043
4940,5.376
6222,5.489
2399,5.46
1221,5.758
3452,6.172
2227,6.225
2807,5.617
3994,5.093
4302,5.483
629,5.697
540,4.343
4792,5.156
2324,5.706
4211,6.092
5007,6.108
4913,6.449
4695,5.798
4170,5.991
420,5.732
5013,5.352
3648,6.576
1219,5.709
1649,5.373
4745,5.359
181,5.135
3256,5.613
5704,5.829
3936,5.784
4575,5.291
104,5.576
3409,6.901
2156,5.959
2483,5.118
4568,5.762
2278,5.232
2869,6.325
4692,5.481
6139,5.849
3601,5.724
1227,6.475
1518,5.141
123,5.322
65,5.342
2991,5.257
852,6.267
4197,5.658
1728,5.887
1300,5.503
1018,5.178
6462,5.537
841,6.714
3831,5.613
86,5.931
5828,5.019
4594,6.227
1352,5.08
1670,6.123
5409,6.311
1406,5.837
1776,5.351
196,5.763
2875,5.07
1047,5.557
285,5.779
115,5.234
1958,6.168
5882,6.415
6323,6.031
5268,6.126
4601,6.221
4993,5.633
3706,5.106
4212,5.542
397,5.884
6027,5.495
507,6.575
5479,5.999
4509,5.993
2315,5.57
2029,5.207
3097,5.936
2231,5.347
4864,5.125
2281,6.181
2609,6.575
4987,5.811
1137,6.014
4083,5.138
3111,5.288
964,6.453
2158,5.864
911,6.264
5115,5.849
5772,5.825
5873,6.014
523,5.229
5006,5.658
5235,6.21
5796,6.662
2192,5.289
5914,5.788
472,5.951
1888,5.804
4889,6.655
6296,5.644
1051,5.658
3222,5.019
4294,5.656
786,5.421
1531,6.043
559,5.088
4917,5.371
2543,5.095
5561,5.504
632,5.079
6434,5.721
2856,5.052
822,5.671
3564,5.817
2120,5.777
2045,6.869
4048,5.031
3972,6.248
1863,4.883
137,5.449
2433,5.7
4300,5.291
4291,6.004
3902,5.722
3025,5.031
1053,5.435
5723,5.974
1880,5.158
4253,5.741
3737,6.137
1329,5.988
2725,5.145
3883,5.584
241,5.376
4527,5.328
3271,5.615
3464,5.506
5957,5.71
4970,5.269
6463,5.391
2421,6.053
950,6.679
5770,4.843
5802,5.674
4738,6.31
2364,5.973
5874,5.241
2144,5.473
1207,5.889
4088,5.774
3188,6.108
3421,5.219
2097,5.771
4652,5.319
620,6.308
3848,5.655
2646,5.794
4514,5.041
2884,6.011
732,5.041
4393,5.616
5908,5.832
2765,6.103
5745,5.383
5535,5.868
132,5.016
5418,5.101
4058,5.069
6260,6.031
118,6.54
2696,6.413
650,5.245
3352,5.56
1282,5.055
111,5.866
108,6.146
2853,6.553
4052,5.786
4248,5.351
5662,5.052
5331,6.791
3038,5.492
4946,6.537
4103,4.972
6201,6.659
3382,6.678
6049,6.356
4867,6.611
155,6.515
1715,5.604
432,5.12
5263,7.246
5617,5.597
6362,5.474
3349,5.163
1954,6.204
1775,5.471
3525,5.595
4731,5.443
2761,6.603
4278,5.754
5060,6.83
477,6.9
2923,5.756
4193,5.379
4174,5.566
729,6.227
5340,5.132
3405,6.368
5321,6.649
3821,5.243
2982,6.276
51,5.963
717,5.421
1141,6.098
5437,5.072
1613,4.847
2126,5.791
4095,5.115
81,6.655
3692,5.78
2057,5.46
415,5.318
5032,6.144
1040,6.307
6024,5.257
6479,6.395
6102,5.856
969,5.212
4236,6.366
1135,5.135
982,5.321
1334,5.871
6458,5.825
4885,6.025
4828,6.066
2823,5.1
4068,6.075
6203,6.262
5188,5.775
1496,6.061
484,5.58
1404,5.042
874,6.164
4853,5.525
5212,5.05
782,5.521
5347,6.684
5334,5.36
5716,6.317
2755,5.199
4984,6.023
4220,6.894
4246,5.403
66,7.118
828,5.404
1679,5.059
3538,5.674
1877,5.239
6147,5.35
2947,6.051
5122,5.618
3658,6.666
2301,6.184
1192,6.146
3640,6.449
1692,5.715
2900,6.047
5564,6.123
5352,5.214
3017,5.492
5165,5.419
4649,6.295
2820,5.815
5917,5.562
3140,4.946
2383,5.314
6010,5.325
743,5.375
1921,5.26
1606,6.37
5569,5.119
263,5.254
4963,5.178
4374,5.314
6165,5.701
3799,6.103
6345,6.095
2320,6.283
4530,5.916
6066,6.155
867,5.217
1647,5.629
226,6.47
5098,5.33
6489,5.426
22,6.499
2430,6.45
3152,5.407
41,5.464
3717,5.56
865,5.509
4440,5.759
2779,5.016
749,5.094
585,5.338
1662,5.288
4838,5.984
4804,6.679
683,5.747
452,5.732
2784,5.302
6002,5.312
1423,6.526
644,5.694
2591,5.267
1814,5.207
280,5.345
435,6.78
5996,5.185
2913,5.893
3418,6.203
1757,5.892
2882,6.042
6497,5.134
5285,5.506
1038,5.206
1356,5.686
3638,6.613
640,5.445
2527,6.459
766,5.216
30,5.96
5498,6.704
95,5.221
1143,6.428
2095,6.112
5629,6.345
5846,5.033
5262,5.967
5495,6.438
4408,5.291
2007,6.476
2948,6.676
2864,6.466
2668,5.07
1366,6.25
5465,5.624
